"order_date","product_name","product_categories","quantity","unit_price","total_price","day_of_week","week","month","year"
2024-12-25,Microwave Oven,Kitchen Appliances,4,99,396,3,52,12,2024
2024-12-25,HP,Laptops,5,799,3995,3,52,12,2024
2024-12-25,Toaster,Kitchen Appliances,3,49,147,3,52,12,2024
2024-12-25,Samsung,Phones,4,599,2396,3,52,12,2024
2024-12-24,Coffee Maker,Kitchen Appliances,4,89,356,2,52,12,2024
2024-12-24,Range Hood,Big Kitchen Appliances,3,450,1350,2,52,12,2024
2024-12-24,Samsung,Laptops,4,749,2996,2,52,12,2024
2024-12-23,Samsung,Phones,3,599,1797,1,52,12,2024
2024-12-23,Acer,Laptops,2,649,1298,1,52,12,2024
2024-12-23,Coffee Maker,Kitchen Appliances,3,89,267,1,52,12,2024
2024-12-23,Mixer,Kitchen Appliances,3,59,177,1,52,12,2024
2024-12-23,Toaster,Kitchen Appliances,1,49,49,1,52,12,2024
2024-12-23,Acer,Laptops,4,649,2596,1,52,12,2024
2024-12-23,Samsung,Laptops,2,749,1498,1,52,12,2024
2024-12-23,iPhone,Phones,5,699,3495,1,52,12,2024
2024-12-23,Range Hood,Big Kitchen Appliances,3,450,1350,1,52,12,2024
2024-12-23,Stove,Big Kitchen Appliances,2,799,1598,1,52,12,2024
2024-12-23,HP,Laptops,1,799,799,1,52,12,2024
2024-12-23,Acer,Laptops,4,649,2596,1,52,12,2024
2024-12-23,Dish Washer,Big Kitchen Appliances,3,700,2100,1,52,12,2024
2024-12-23,Xiaomi,Phones,4,499,1996,1,52,12,2024
2024-12-23,Stove,Big Kitchen Appliances,3,799,2397,1,52,12,2024
2024-12-22,Coffee Maker,Kitchen Appliances,2,89,178,0,51,12,2024
2024-12-22,Toaster,Kitchen Appliances,1,49,49,0,51,12,2024
2024-12-22,Dish Washer,Big Kitchen Appliances,5,700,3500,0,51,12,2024
2024-12-22,Range Hood,Big Kitchen Appliances,2,450,900,0,51,12,2024
2024-12-22,Mixer,Kitchen Appliances,3,59,177,0,51,12,2024
2024-12-22,Toaster,Kitchen Appliances,5,49,245,0,51,12,2024
2024-12-22,Samsung,Phones,2,599,1198,0,51,12,2024
2024-12-22,Microwave Oven,Kitchen Appliances,2,99,198,0,51,12,2024
2024-12-22,Samsung,Phones,3,599,1797,0,51,12,2024
2024-12-22,Electric Kettle,Kitchen Appliances,1,39,39,0,51,12,2024
2024-12-22,Dell,Laptops,1,899,899,0,51,12,2024
2024-12-22,Xiaomi,Phones,3,499,1497,0,51,12,2024
2024-12-22,Dell,Laptops,2,899,1798,0,51,12,2024
2024-12-22,iPhone,Phones,4,699,2796,0,51,12,2024
2024-12-22,Coffee Maker,Kitchen Appliances,5,89,445,0,51,12,2024
2024-12-22,HP,Laptops,1,799,799,0,51,12,2024
2024-12-21,Microwave Oven,Kitchen Appliances,5,99,495,6,51,12,2024
2024-12-21,HP,Laptops,3,799,2397,6,51,12,2024
2024-12-21,Samsung,Laptops,4,749,2996,6,51,12,2024
2024-12-21,Dell,Laptops,4,899,3596,6,51,12,2024
2024-12-21,Mixer,Kitchen Appliances,2,59,118,6,51,12,2024
2024-12-20,Samsung,Phones,5,599,2995,5,51,12,2024
2024-12-20,Range Hood,Big Kitchen Appliances,4,450,1800,5,51,12,2024
2024-12-20,Samsung,Phones,1,599,599,5,51,12,2024
2024-12-20,Stove,Big Kitchen Appliances,1,799,799,5,51,12,2024
2024-12-20,Dell,Laptops,2,899,1798,5,51,12,2024
2024-12-20,iPhone,Phones,4,699,2796,5,51,12,2024
2024-12-20,Xiaomi,Phones,3,499,1497,5,51,12,2024
2024-12-19,Acer,Laptops,5,649,3245,4,51,12,2024
2024-12-19,Range Hood,Big Kitchen Appliances,2,450,900,4,51,12,2024
2024-12-19,Mixer,Kitchen Appliances,1,59,59,4,51,12,2024
2024-12-19,Stove,Big Kitchen Appliances,3,799,2397,4,51,12,2024
2024-12-19,Samsung,Laptops,2,749,1498,4,51,12,2024
2024-12-19,Acer,Laptops,2,649,1298,4,51,12,2024
2024-12-19,Mixer,Kitchen Appliances,4,59,236,4,51,12,2024
2024-12-19,Refrigerator,Big Kitchen Appliances,4,999,3996,4,51,12,2024
2024-12-19,Xiaomi,Phones,3,499,1497,4,51,12,2024
2024-12-19,Dell,Laptops,3,899,2697,4,51,12,2024
2024-12-19,Microwave Oven,Kitchen Appliances,3,99,297,4,51,12,2024
2024-12-18,Electric Kettle,Kitchen Appliances,3,39,117,3,51,12,2024
2024-12-18,Electric Kettle,Kitchen Appliances,1,39,39,3,51,12,2024
2024-12-18,Refrigerator,Big Kitchen Appliances,5,999,4995,3,51,12,2024
2024-12-18,Dell,Laptops,1,899,899,3,51,12,2024
2024-12-18,Samsung,Laptops,4,749,2996,3,51,12,2024
2024-12-18,Samsung,Phones,2,599,1198,3,51,12,2024
2024-12-18,Xiaomi,Phones,1,499,499,3,51,12,2024
2024-12-18,Dell,Laptops,2,899,1798,3,51,12,2024
2024-12-18,Coffee Maker,Kitchen Appliances,4,89,356,3,51,12,2024
2024-12-18,Dell,Laptops,3,899,2697,3,51,12,2024
2024-12-17,Stove,Big Kitchen Appliances,4,799,3196,2,51,12,2024
2024-12-17,Stove,Big Kitchen Appliances,3,799,2397,2,51,12,2024
2024-12-17,Samsung,Phones,4,599,2396,2,51,12,2024
2024-12-17,MacBook,Laptops,3,1299,3897,2,51,12,2024
2024-12-17,Coffee Maker,Kitchen Appliances,3,89,267,2,51,12,2024
2024-12-17,Range Hood,Big Kitchen Appliances,1,450,450,2,51,12,2024
2024-12-17,Dell,Laptops,1,899,899,2,51,12,2024
2024-12-17,Samsung,Laptops,1,749,749,2,51,12,2024
2024-12-16,MacBook,Laptops,2,1299,2598,1,51,12,2024
2024-12-16,MacBook,Laptops,3,1299,3897,1,51,12,2024
2024-12-16,HP,Laptops,5,799,3995,1,51,12,2024
2024-12-16,Dish Washer,Big Kitchen Appliances,4,700,2800,1,51,12,2024
2024-12-16,Mixer,Kitchen Appliances,5,59,295,1,51,12,2024
2024-12-16,Range Hood,Big Kitchen Appliances,3,450,1350,1,51,12,2024
2024-12-15,MacBook,Laptops,5,1299,6495,0,50,12,2024
2024-12-15,Dell,Laptops,2,899,1798,0,50,12,2024
2024-12-15,Stove,Big Kitchen Appliances,5,799,3995,0,50,12,2024
2024-12-15,Toaster,Kitchen Appliances,4,49,196,0,50,12,2024
2024-12-15,Stove,Big Kitchen Appliances,4,799,3196,0,50,12,2024
2024-12-15,MacBook,Laptops,2,1299,2598,0,50,12,2024
2024-12-15,Stove,Big Kitchen Appliances,5,799,3995,0,50,12,2024
2024-12-15,HP,Laptops,5,799,3995,0,50,12,2024
2024-12-15,MacBook,Laptops,4,1299,5196,0,50,12,2024
2024-12-15,Stove,Big Kitchen Appliances,2,799,1598,0,50,12,2024
2024-12-15,HP,Laptops,3,799,2397,0,50,12,2024
2024-12-14,Dell,Laptops,5,899,4495,6,50,12,2024
2024-12-14,Xiaomi,Phones,3,499,1497,6,50,12,2024
2024-12-14,Dell,Laptops,4,899,3596,6,50,12,2024
2024-12-14,Dell,Laptops,5,899,4495,6,50,12,2024
2024-12-14,Xiaomi,Phones,4,499,1996,6,50,12,2024
2024-12-14,Samsung,Phones,2,599,1198,6,50,12,2024
2024-12-14,Xiaomi,Phones,5,499,2495,6,50,12,2024
2024-12-14,Xiaomi,Phones,2,499,998,6,50,12,2024
2024-12-13,HP,Laptops,5,799,3995,5,50,12,2024
2024-12-13,Toaster,Kitchen Appliances,2,49,98,5,50,12,2024
2024-12-13,Xiaomi,Phones,5,499,2495,5,50,12,2024
2024-12-13,iPhone,Phones,3,699,2097,5,50,12,2024
2024-12-13,Refrigerator,Big Kitchen Appliances,2,999,1998,5,50,12,2024
2024-12-13,Refrigerator,Big Kitchen Appliances,2,999,1998,5,50,12,2024
2024-12-13,Coffee Maker,Kitchen Appliances,2,89,178,5,50,12,2024
2024-12-13,HP,Laptops,1,799,799,5,50,12,2024
2024-12-13,Acer,Laptops,1,649,649,5,50,12,2024
2024-12-12,Dish Washer,Big Kitchen Appliances,2,700,1400,4,50,12,2024
2024-12-12,Microwave Oven,Kitchen Appliances,1,99,99,4,50,12,2024
2024-12-12,Xiaomi,Phones,4,499,1996,4,50,12,2024
2024-12-12,Stove,Big Kitchen Appliances,1,799,799,4,50,12,2024
2024-12-12,iPhone,Phones,1,699,699,4,50,12,2024
2024-12-12,iPhone,Phones,1,699,699,4,50,12,2024
2024-12-12,Electric Kettle,Kitchen Appliances,5,39,195,4,50,12,2024
2024-12-12,HP,Laptops,2,799,1598,4,50,12,2024
2024-12-12,Samsung,Laptops,2,749,1498,4,50,12,2024
2024-12-12,HP,Laptops,4,799,3196,4,50,12,2024
2024-12-12,Samsung,Phones,2,599,1198,4,50,12,2024
2024-12-12,Microwave Oven,Kitchen Appliances,2,99,198,4,50,12,2024
2024-12-12,Samsung,Laptops,3,749,2247,4,50,12,2024
2024-12-12,Refrigerator,Big Kitchen Appliances,5,999,4995,4,50,12,2024
2024-12-12,Dell,Laptops,1,899,899,4,50,12,2024
2024-12-11,Acer,Laptops,4,649,2596,3,50,12,2024
2024-12-11,Toaster,Kitchen Appliances,5,49,245,3,50,12,2024
2024-12-11,Dell,Laptops,1,899,899,3,50,12,2024
2024-12-11,Mixer,Kitchen Appliances,1,59,59,3,50,12,2024
2024-12-11,Coffee Maker,Kitchen Appliances,5,89,445,3,50,12,2024
2024-12-11,Toaster,Kitchen Appliances,4,49,196,3,50,12,2024
2024-12-10,Xiaomi,Phones,4,499,1996,2,50,12,2024
2024-12-10,Dish Washer,Big Kitchen Appliances,4,700,2800,2,50,12,2024
2024-12-10,Microwave Oven,Kitchen Appliances,5,99,495,2,50,12,2024
2024-12-10,Mixer,Kitchen Appliances,1,59,59,2,50,12,2024
2024-12-10,Refrigerator,Big Kitchen Appliances,3,999,2997,2,50,12,2024
2024-12-09,HP,Laptops,3,799,2397,1,50,12,2024
2024-12-09,Range Hood,Big Kitchen Appliances,3,450,1350,1,50,12,2024
2024-12-09,Dell,Laptops,3,899,2697,1,50,12,2024
2024-12-09,Range Hood,Big Kitchen Appliances,5,450,2250,1,50,12,2024
2024-12-09,Samsung,Laptops,1,749,749,1,50,12,2024
2024-12-09,Coffee Maker,Kitchen Appliances,2,89,178,1,50,12,2024
2024-12-09,HP,Laptops,2,799,1598,1,50,12,2024
2024-12-09,Coffee Maker,Kitchen Appliances,5,89,445,1,50,12,2024
2024-12-09,Acer,Laptops,5,649,3245,1,50,12,2024
2024-12-08,Toaster,Kitchen Appliances,4,49,196,0,49,12,2024
2024-12-08,Toaster,Kitchen Appliances,5,49,245,0,49,12,2024
2024-12-08,Xiaomi,Phones,1,499,499,0,49,12,2024
2024-12-08,Coffee Maker,Kitchen Appliances,5,89,445,0,49,12,2024
2024-12-08,Refrigerator,Big Kitchen Appliances,2,999,1998,0,49,12,2024
2024-12-08,HP,Laptops,5,799,3995,0,49,12,2024
2024-12-08,Stove,Big Kitchen Appliances,2,799,1598,0,49,12,2024
2024-12-08,Stove,Big Kitchen Appliances,1,799,799,0,49,12,2024
2024-12-08,Stove,Big Kitchen Appliances,2,799,1598,0,49,12,2024
2024-12-08,iPhone,Phones,5,699,3495,0,49,12,2024
2024-12-08,Toaster,Kitchen Appliances,3,49,147,0,49,12,2024
2024-12-08,Xiaomi,Phones,2,499,998,0,49,12,2024
2024-12-07,Refrigerator,Big Kitchen Appliances,3,999,2997,6,49,12,2024
2024-12-07,HP,Laptops,3,799,2397,6,49,12,2024
2024-12-07,Xiaomi,Phones,4,499,1996,6,49,12,2024
2024-12-07,Microwave Oven,Kitchen Appliances,4,99,396,6,49,12,2024
2024-12-07,Xiaomi,Phones,2,499,998,6,49,12,2024
2024-12-07,Stove,Big Kitchen Appliances,1,799,799,6,49,12,2024
2024-12-07,Toaster,Kitchen Appliances,3,49,147,6,49,12,2024
2024-12-07,Refrigerator,Big Kitchen Appliances,4,999,3996,6,49,12,2024
2024-12-06,Microwave Oven,Kitchen Appliances,5,99,495,5,49,12,2024
2024-12-06,Dell,Laptops,2,899,1798,5,49,12,2024
2024-12-06,Samsung,Phones,3,599,1797,5,49,12,2024
2024-12-06,Dell,Laptops,3,899,2697,5,49,12,2024
2024-12-06,iPhone,Phones,3,699,2097,5,49,12,2024
2024-12-06,Mixer,Kitchen Appliances,5,59,295,5,49,12,2024
2024-12-06,Acer,Laptops,2,649,1298,5,49,12,2024
2024-12-06,Xiaomi,Phones,3,499,1497,5,49,12,2024
2024-12-06,Coffee Maker,Kitchen Appliances,1,89,89,5,49,12,2024
2024-12-06,Acer,Laptops,5,649,3245,5,49,12,2024
2024-12-06,Dish Washer,Big Kitchen Appliances,5,700,3500,5,49,12,2024
2024-12-06,HP,Laptops,5,799,3995,5,49,12,2024
2024-12-06,Microwave Oven,Kitchen Appliances,1,99,99,5,49,12,2024
2024-12-06,MacBook,Laptops,4,1299,5196,5,49,12,2024
2024-12-05,Coffee Maker,Kitchen Appliances,3,89,267,4,49,12,2024
2024-12-05,iPhone,Phones,3,699,2097,4,49,12,2024
2024-12-05,Toaster,Kitchen Appliances,1,49,49,4,49,12,2024
2024-12-05,Dish Washer,Big Kitchen Appliances,3,700,2100,4,49,12,2024
2024-12-05,MacBook,Laptops,4,1299,5196,4,49,12,2024
2024-12-05,Electric Kettle,Kitchen Appliances,5,39,195,4,49,12,2024
2024-12-05,Mixer,Kitchen Appliances,4,59,236,4,49,12,2024
2024-12-05,Refrigerator,Big Kitchen Appliances,4,999,3996,4,49,12,2024
2024-12-04,Samsung,Phones,2,599,1198,3,49,12,2024
2024-12-04,iPhone,Phones,4,699,2796,3,49,12,2024
2024-12-04,MacBook,Laptops,4,1299,5196,3,49,12,2024
2024-12-04,Coffee Maker,Kitchen Appliances,4,89,356,3,49,12,2024
2024-12-04,Mixer,Kitchen Appliances,5,59,295,3,49,12,2024
2024-12-04,Dell,Laptops,2,899,1798,3,49,12,2024
2024-12-04,MacBook,Laptops,2,1299,2598,3,49,12,2024
2024-12-04,Xiaomi,Phones,5,499,2495,3,49,12,2024
2024-12-04,Refrigerator,Big Kitchen Appliances,5,999,4995,3,49,12,2024
2024-12-04,Toaster,Kitchen Appliances,5,49,245,3,49,12,2024
2024-12-03,Samsung,Phones,4,599,2396,2,49,12,2024
2024-12-03,MacBook,Laptops,2,1299,2598,2,49,12,2024
2024-12-03,iPhone,Phones,3,699,2097,2,49,12,2024
2024-12-03,Microwave Oven,Kitchen Appliances,3,99,297,2,49,12,2024
2024-12-03,Mixer,Kitchen Appliances,2,59,118,2,49,12,2024
2024-12-03,Dell,Laptops,4,899,3596,2,49,12,2024
2024-12-03,Dish Washer,Big Kitchen Appliances,3,700,2100,2,49,12,2024
2024-12-03,Acer,Laptops,2,649,1298,2,49,12,2024
2024-12-03,Range Hood,Big Kitchen Appliances,2,450,900,2,49,12,2024
2024-12-03,HP,Laptops,2,799,1598,2,49,12,2024
2024-12-03,Samsung,Phones,3,599,1797,2,49,12,2024
2024-12-03,Mixer,Kitchen Appliances,5,59,295,2,49,12,2024
2024-12-02,Refrigerator,Big Kitchen Appliances,1,999,999,1,49,12,2024
2024-12-02,Refrigerator,Big Kitchen Appliances,1,999,999,1,49,12,2024
2024-12-02,Electric Kettle,Kitchen Appliances,3,39,117,1,49,12,2024
2024-12-02,Samsung,Laptops,2,749,1498,1,49,12,2024
2024-12-02,Dell,Laptops,5,899,4495,1,49,12,2024
2024-12-02,Dell,Laptops,1,899,899,1,49,12,2024
2024-12-02,Dell,Laptops,4,899,3596,1,49,12,2024
2024-12-02,Refrigerator,Big Kitchen Appliances,5,999,4995,1,49,12,2024
2024-12-02,Dish Washer,Big Kitchen Appliances,1,700,700,1,49,12,2024
2024-12-02,Acer,Laptops,3,649,1947,1,49,12,2024
2024-12-02,Acer,Laptops,2,649,1298,1,49,12,2024
2024-12-02,Range Hood,Big Kitchen Appliances,3,450,1350,1,49,12,2024
2024-12-02,Coffee Maker,Kitchen Appliances,4,89,356,1,49,12,2024
2024-12-01,Range Hood,Big Kitchen Appliances,3,450,1350,0,48,12,2024
2024-12-01,Samsung,Laptops,5,749,3745,0,48,12,2024
2024-12-01,Coffee Maker,Kitchen Appliances,3,89,267,0,48,12,2024
2024-12-01,Range Hood,Big Kitchen Appliances,1,450,450,0,48,12,2024
2024-11-30,Dish Washer,Big Kitchen Appliances,3,700,2100,6,48,11,2024
2024-11-30,Dish Washer,Big Kitchen Appliances,2,700,1400,6,48,11,2024
2024-11-30,Xiaomi,Phones,5,499,2495,6,48,11,2024
2024-11-30,Refrigerator,Big Kitchen Appliances,4,999,3996,6,48,11,2024
2024-11-30,Toaster,Kitchen Appliances,2,49,98,6,48,11,2024
2024-11-29,iPhone,Phones,5,699,3495,5,48,11,2024
2024-11-29,Acer,Laptops,2,649,1298,5,48,11,2024
2024-11-29,Coffee Maker,Kitchen Appliances,5,89,445,5,48,11,2024
2024-11-29,iPhone,Phones,2,699,1398,5,48,11,2024
2024-11-29,Electric Kettle,Kitchen Appliances,1,39,39,5,48,11,2024
2024-11-29,Range Hood,Big Kitchen Appliances,5,450,2250,5,48,11,2024
2024-11-29,Acer,Laptops,2,649,1298,5,48,11,2024
2024-11-29,MacBook,Laptops,1,1299,1299,5,48,11,2024
2024-11-29,Toaster,Kitchen Appliances,3,49,147,5,48,11,2024
2024-11-29,Dell,Laptops,1,899,899,5,48,11,2024
2024-11-29,Samsung,Phones,4,599,2396,5,48,11,2024
2024-11-29,Electric Kettle,Kitchen Appliances,4,39,156,5,48,11,2024
2024-11-28,Microwave Oven,Kitchen Appliances,2,99,198,4,48,11,2024
2024-11-28,Stove,Big Kitchen Appliances,4,799,3196,4,48,11,2024
2024-11-28,Stove,Big Kitchen Appliances,5,799,3995,4,48,11,2024
2024-11-28,Dish Washer,Big Kitchen Appliances,1,700,700,4,48,11,2024
2024-11-28,Toaster,Kitchen Appliances,1,49,49,4,48,11,2024
2024-11-28,Range Hood,Big Kitchen Appliances,5,450,2250,4,48,11,2024
2024-11-28,Electric Kettle,Kitchen Appliances,1,39,39,4,48,11,2024
2024-11-27,Samsung,Phones,5,599,2995,3,48,11,2024
2024-11-27,Acer,Laptops,2,649,1298,3,48,11,2024
2024-11-27,Microwave Oven,Kitchen Appliances,2,99,198,3,48,11,2024
2024-11-27,Dish Washer,Big Kitchen Appliances,4,700,2800,3,48,11,2024
2024-11-27,Range Hood,Big Kitchen Appliances,3,450,1350,3,48,11,2024
2024-11-27,iPhone,Phones,3,699,2097,3,48,11,2024
2024-11-27,Coffee Maker,Kitchen Appliances,3,89,267,3,48,11,2024
2024-11-27,Stove,Big Kitchen Appliances,2,799,1598,3,48,11,2024
2024-11-27,Coffee Maker,Kitchen Appliances,5,89,445,3,48,11,2024
2024-11-26,Stove,Big Kitchen Appliances,3,799,2397,2,48,11,2024
2024-11-26,Samsung,Laptops,5,749,3745,2,48,11,2024
2024-11-26,HP,Laptops,4,799,3196,2,48,11,2024
2024-11-26,Refrigerator,Big Kitchen Appliances,5,999,4995,2,48,11,2024
2024-11-26,Samsung,Laptops,2,749,1498,2,48,11,2024
2024-11-25,Range Hood,Big Kitchen Appliances,5,450,2250,1,48,11,2024
2024-11-25,Samsung,Laptops,5,749,3745,1,48,11,2024
2024-11-25,Refrigerator,Big Kitchen Appliances,2,999,1998,1,48,11,2024
2024-11-25,Range Hood,Big Kitchen Appliances,1,450,450,1,48,11,2024
2024-11-25,Mixer,Kitchen Appliances,3,59,177,1,48,11,2024
2024-11-25,Range Hood,Big Kitchen Appliances,1,450,450,1,48,11,2024
2024-11-24,Dell,Laptops,1,899,899,0,47,11,2024
2024-11-24,Coffee Maker,Kitchen Appliances,5,89,445,0,47,11,2024
2024-11-24,Dell,Laptops,4,899,3596,0,47,11,2024
2024-11-24,Dell,Laptops,5,899,4495,0,47,11,2024
2024-11-24,Acer,Laptops,5,649,3245,0,47,11,2024
2024-11-24,HP,Laptops,3,799,2397,0,47,11,2024
2024-11-24,Samsung,Laptops,3,749,2247,0,47,11,2024
2024-11-24,Acer,Laptops,5,649,3245,0,47,11,2024
2024-11-24,iPhone,Phones,4,699,2796,0,47,11,2024
2024-11-24,Samsung,Laptops,1,749,749,0,47,11,2024
2024-11-24,Electric Kettle,Kitchen Appliances,2,39,78,0,47,11,2024
2024-11-24,Dell,Laptops,5,899,4495,0,47,11,2024
2024-11-24,Microwave Oven,Kitchen Appliances,4,99,396,0,47,11,2024
2024-11-24,Toaster,Kitchen Appliances,1,49,49,0,47,11,2024
2024-11-24,iPhone,Phones,4,699,2796,0,47,11,2024
2024-11-23,Acer,Laptops,1,649,649,6,47,11,2024
2024-11-23,Coffee Maker,Kitchen Appliances,1,89,89,6,47,11,2024
2024-11-23,Samsung,Phones,1,599,599,6,47,11,2024
2024-11-23,Coffee Maker,Kitchen Appliances,5,89,445,6,47,11,2024
2024-11-22,HP,Laptops,5,799,3995,5,47,11,2024
2024-11-22,Stove,Big Kitchen Appliances,1,799,799,5,47,11,2024
2024-11-22,Microwave Oven,Kitchen Appliances,4,99,396,5,47,11,2024
2024-11-22,Dish Washer,Big Kitchen Appliances,4,700,2800,5,47,11,2024
2024-11-22,Toaster,Kitchen Appliances,4,49,196,5,47,11,2024
2024-11-22,MacBook,Laptops,4,1299,5196,5,47,11,2024
2024-11-22,Electric Kettle,Kitchen Appliances,4,39,156,5,47,11,2024
2024-11-22,Samsung,Laptops,3,749,2247,5,47,11,2024
2024-11-22,Coffee Maker,Kitchen Appliances,2,89,178,5,47,11,2024
2024-11-22,Dish Washer,Big Kitchen Appliances,4,700,2800,5,47,11,2024
2024-11-22,Stove,Big Kitchen Appliances,4,799,3196,5,47,11,2024
2024-11-22,Samsung,Phones,3,599,1797,5,47,11,2024
2024-11-21,Range Hood,Big Kitchen Appliances,1,450,450,4,47,11,2024
2024-11-21,Microwave Oven,Kitchen Appliances,4,99,396,4,47,11,2024
2024-11-21,HP,Laptops,5,799,3995,4,47,11,2024
2024-11-21,Mixer,Kitchen Appliances,2,59,118,4,47,11,2024
2024-11-21,iPhone,Phones,2,699,1398,4,47,11,2024
2024-11-21,Samsung,Laptops,1,749,749,4,47,11,2024
2024-11-21,Coffee Maker,Kitchen Appliances,2,89,178,4,47,11,2024
2024-11-21,Stove,Big Kitchen Appliances,5,799,3995,4,47,11,2024
2024-11-21,Toaster,Kitchen Appliances,1,49,49,4,47,11,2024
2024-11-21,MacBook,Laptops,2,1299,2598,4,47,11,2024
2024-11-20,Toaster,Kitchen Appliances,4,49,196,3,47,11,2024
2024-11-20,Samsung,Phones,4,599,2396,3,47,11,2024
2024-11-20,Microwave Oven,Kitchen Appliances,5,99,495,3,47,11,2024
2024-11-20,Stove,Big Kitchen Appliances,3,799,2397,3,47,11,2024
2024-11-20,Toaster,Kitchen Appliances,1,49,49,3,47,11,2024
2024-11-20,Xiaomi,Phones,5,499,2495,3,47,11,2024
2024-11-20,Samsung,Laptops,5,749,3745,3,47,11,2024
2024-11-20,Electric Kettle,Kitchen Appliances,2,39,78,3,47,11,2024
2024-11-20,HP,Laptops,5,799,3995,3,47,11,2024
2024-11-20,Xiaomi,Phones,4,499,1996,3,47,11,2024
2024-11-20,Coffee Maker,Kitchen Appliances,1,89,89,3,47,11,2024
2024-11-20,Samsung,Laptops,1,749,749,3,47,11,2024
2024-11-20,Dell,Laptops,1,899,899,3,47,11,2024
2024-11-19,Dish Washer,Big Kitchen Appliances,4,700,2800,2,47,11,2024
2024-11-19,Xiaomi,Phones,2,499,998,2,47,11,2024
2024-11-19,Dell,Laptops,3,899,2697,2,47,11,2024
2024-11-19,Electric Kettle,Kitchen Appliances,2,39,78,2,47,11,2024
2024-11-19,Xiaomi,Phones,2,499,998,2,47,11,2024
2024-11-19,Dish Washer,Big Kitchen Appliances,4,700,2800,2,47,11,2024
2024-11-18,Stove,Big Kitchen Appliances,1,799,799,1,47,11,2024
2024-11-18,HP,Laptops,3,799,2397,1,47,11,2024
2024-11-18,Coffee Maker,Kitchen Appliances,4,89,356,1,47,11,2024
2024-11-18,Toaster,Kitchen Appliances,4,49,196,1,47,11,2024
2024-11-17,Samsung,Phones,3,599,1797,0,46,11,2024
2024-11-17,Microwave Oven,Kitchen Appliances,5,99,495,0,46,11,2024
2024-11-17,HP,Laptops,1,799,799,0,46,11,2024
2024-11-17,Xiaomi,Phones,2,499,998,0,46,11,2024
2024-11-17,MacBook,Laptops,4,1299,5196,0,46,11,2024
2024-11-17,Toaster,Kitchen Appliances,3,49,147,0,46,11,2024
2024-11-17,Acer,Laptops,1,649,649,0,46,11,2024
